/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('right', 'red', None, 'left', 'left')
 -- left : -7.16

('right', 'red', 'forward', 'forward', 'left')
 -- forward : -39.64
 -- right : -15.15
 -- None : 1.44
 -- left : -30.29

('forward', 'red', 'left', 'right', None)
 -- forward : -9.06
 -- right : 0.81
 -- None : 2.25
 -- left : -9.15

('forward', 'red', None, 'right', 'left')
 -- forward : -9.90
 -- right : 0.47
 -- None : 1.61
 -- left : -10.15

('right', 'red', None, 'left', 'forward')
 -- forward : -10.25
 -- right : 1.74
 -- None : 1.05
 -- left : -10.25

('forward', 'red', None, None, 'right')
 -- forward : -9.66
 -- right : 1.09
 -- None : 2.21
 -- left : -40.03

('left', 'red', 'right', 'forward', None)
 -- forward : -34.48
 -- right : 0.18
 -- None : 1.59
 -- left : -39.22

('right', 'red', None, 'forward', 'right')
 -- forward : -30.20
 -- right : 2.29
 -- None : 1.45
 -- left : -30.22

('left', 'green', 'right', 'left', 'left')
 -- forward : 0.53
 -- right : 0.42
 -- None : -0.08
 -- left : 1.88

('forward', 'red', 'forward', 'left', None)
 -- forward : -39.79
 -- right : -20.43
 -- None : 1.93
 -- left : -39.86

('left', 'green', 'left', 'right', 'forward')
 -- forward : 0.30
 -- right : 0.60
 -- None : 0.00
 -- left : -17.52

('left', 'red', None, 'forward', None)
 -- forward : -39.34
 -- right : 1.17
 -- None : 1.98
 -- left : -39.88

('forward', 'green', 'forward', 'left', 'forward')
 -- forward : 1.81
 -- right : 0.63
 -- None : -2.18
 -- left : -17.42

('forward', 'green', 'forward', 'forward', 'left')
 -- forward : 1.90
 -- right : 0.59
 -- None : 0.89
 -- left : 0.78

('left', 'green', None, 'left', None)
 -- forward : 0.38
 -- right : 0.15
 -- None : -5.17
 -- left : 1.80

('forward', 'red', None, 'left', 'left')
 -- forward : -10.18
 -- right : 0.70
 -- None : 2.35
 -- left : -10.00

('left', 'green', 'right', None, 'forward')
 -- forward : 0.22
 -- right : 0.86
 -- None : -4.33
 -- left : -20.11

('right', 'green', 'right', 'left', 'forward')
 -- forward : 1.11
 -- right : 0.52
 -- None : -4.28
 -- left : 0.00

('left', 'red', 'left', 'right', 'right')
 -- forward : -4.78
 -- right : 0.75
 -- None : 0.00
 -- left : -34.80

('left', 'red', 'left', 'right', None)
 -- forward : -8.44
 -- right : 1.00
 -- None : 1.95
 -- left : -9.72

('right', 'red', 'forward', 'forward', 'right')
 -- forward : -19.91
 -- right : -9.83
 -- None : 1.93
 -- left : -30.04

('right', 'green', 'right', 'right', 'forward')
 -- forward : 0.92
 -- right : 0.00
 -- None : -3.89
 -- left : -10.07

('left', 'red', 'forward', 'forward', None)
 -- forward : -40.21
 -- right : -20.14
 -- None : 1.91
 -- left : -39.94

('forward', 'red', 'left', 'left', 'forward')
 -- forward : -7.24
 -- right : 0.84
 -- None : 1.18
 -- left : -4.55

('forward', 'green', 'forward', 'right', 'left')
 -- forward : 1.77
 -- right : 0.46
 -- None : 0.28
 -- left : 0.11

('forward', 'red', None, 'left', 'right')
 -- forward : -7.40
 -- right : 0.78
 -- None : 1.39
 -- left : -34.88

('forward', 'red', 'right', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.22
 -- left : -20.40

('forward', 'green', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.80
 -- None : 0.00
 -- left : -10.16

('right', 'green', 'left', None, 'forward')
 -- forward : 0.72
 -- right : 1.73
 -- None : -4.77
 -- left : -19.84

('left', 'green', 'left', 'left', 'forward')
 -- forward : 0.71
 -- right : 0.14
 -- None : -2.59
 -- left : -10.47

('right', 'red', None, 'forward', 'left')
 -- forward : -40.58
 -- right : 1.08
 -- None : 1.92
 -- left : -40.48

('forward', 'red', 'forward', None, None)
 -- forward : -39.93
 -- right : -20.49
 -- None : 2.51
 -- left : -40.05

('left', 'green', None, 'right', 'left')
 -- forward : 1.14
 -- right : 0.46
 -- None : 0.84
 -- left : 1.61

('left', 'green', 'forward', 'forward', None)
 -- forward : 0.37
 -- right : 1.12
 -- None : -4.52
 -- left : 1.51

('forward', 'green', 'forward', 'forward', 'forward')
 -- forward : 1.83
 -- right : 0.81
 -- None : -5.05
 -- left : -10.50

('forward', 'green', 'left', None, None)
 -- forward : 1.49
 -- right : 0.51
 -- None : -4.86
 -- left : 0.78

('forward', 'red', 'forward', 'right', 'left')
 -- forward : 0.00
 -- right : -9.70
 -- None : 2.46
 -- left : -20.47

('forward', 'green', 'left', 'left', None)
 -- forward : 2.49
 -- right : 1.27
 -- None : -5.15
 -- left : 0.70

('forward', 'red', None, None, None)
 -- forward : -10.52
 -- right : 0.78
 -- None : 2.06
 -- left : -10.25

('forward', 'green', 'right', 'left', 'forward')
 -- forward : 1.77
 -- right : 0.40
 -- None : -2.43
 -- left : 0.00

('right', 'green', 'right', 'right', 'left')
 -- forward : 0.44
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'left', None, 'left')
 -- forward : -9.86
 -- right : 1.03
 -- None : 1.64
 -- left : -9.81

('left', 'red', 'left', 'left', 'left')
 -- forward : -7.76
 -- right : 0.76
 -- None : 1.89
 -- left : -9.90

('right', 'green', None, 'forward', None)
 -- forward : 0.32
 -- right : 1.89
 -- None : -5.26
 -- left : 0.30

('right', 'red', 'right', 'right', 'left')
 -- forward : -4.59
 -- right : 1.90
 -- None : 0.77
 -- left : -7.70

('left', 'green', 'right', 'right', None)
 -- forward : 0.26
 -- right : 1.02
 -- None : -3.72
 -- left : 0.00

('forward', 'green', 'left', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.84
 -- None : -2.25
 -- left : -10.10

('left', 'red', 'right', None, 'left')
 -- forward : -9.47
 -- right : 1.30
 -- None : 2.04
 -- left : -10.16

('right', 'red', 'forward', 'left', None)
 -- forward : -39.90
 -- right : -20.48
 -- None : 2.07
 -- left : -39.59

('left', 'red', 'right', None, 'forward')
 -- forward : -9.45
 -- right : 1.05
 -- None : 1.66
 -- left : -10.33

('left', 'green', None, 'right', None)
 -- forward : 0.77
 -- right : 0.94
 -- None : -5.24
 -- left : 2.16

('forward', 'green', 'right', None, 'left')
 -- forward : 1.45
 -- right : 0.79
 -- None : 0.73
 -- left : 0.18

('right', 'red', None, None, 'forward')
 -- forward : -10.09
 -- right : 2.33
 -- None : 1.23
 -- left : -9.50

('left', 'red', 'forward', 'right', None)
 -- forward : -34.71
 -- right : -14.78
 -- None : 2.29
 -- left : -29.88

('left', 'green', 'left', None, 'left')
 -- forward : 1.03
 -- right : 0.59
 -- None : 0.78
 -- left : 1.85

('left', 'red', 'forward', None, None)
 -- forward : -39.62
 -- right : -19.49
 -- None : 1.94
 -- left : -40.38

('forward', 'green', None, None, 'left')
 -- forward : 1.25
 -- right : 0.67
 -- None : 0.30
 -- left : 0.97

('left', 'red', 'right', 'forward', 'forward')
 -- forward : -19.80
 -- right : 0.41
 -- None : 0.92
 -- left : 0.00

('right', 'green', None, 'left', 'left')
 -- forward : 0.94
 -- right : 1.64
 -- None : 0.42
 -- left : 0.73

('left', 'red', 'right', 'left', 'right')
 -- forward : 0.00
 -- right : 0.33
 -- None : 1.12
 -- left : -20.28

('left', 'green', None, None, 'right')
 -- forward : 0.34
 -- right : 1.28
 -- None : -5.04
 -- left : -19.62

('right', 'red', None, None, 'right')
 -- forward : -10.28
 -- right : 1.42
 -- None : 1.46
 -- left : -40.11

('forward', 'green', 'forward', 'left', None)
 -- forward : 1.38
 -- right : 0.87
 -- None : -4.58
 -- left : 0.57

('left', 'red', 'right', 'right', None)
 -- forward : -7.30
 -- right : 0.97
 -- None : 2.00
 -- left : 0.00

('right', 'green', 'forward', 'right', 'right')
 -- forward : 0.00
 -- right : 2.01
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'right', 'left', 'right')
 -- forward : -4.66
 -- right : 2.02
 -- None : 0.00
 -- left : -20.44

('forward', 'green', 'left', 'forward', 'left')
 -- forward : 1.58
 -- right : 0.89
 -- None : 1.02
 -- left : 0.93

('left', 'green', 'left', None, 'right')
 -- forward : 0.32
 -- right : 0.87
 -- None : -4.75
 -- left : -19.02

('right', 'green', 'forward', 'left', None)
 -- forward : 0.23
 -- right : 1.32
 -- None : -5.26
 -- left : 0.82

('forward', 'green', 'left', 'right', 'left')
 -- forward : 0.00
 -- right : 0.50
 -- None : 0.19
 -- left : 0.00

('left', 'red', 'left', None, 'right')
 -- forward : -9.77
 -- right : 0.89
 -- None : 2.02
 -- left : 0.00

('right', 'green', 'right', None, None)
 -- forward : 0.71
 -- right : 2.28
 -- None : -5.19
 -- left : 0.57

('right', 'red', 'forward', None, 'left')
 -- forward : -39.53
 -- right : -19.49
 -- None : 1.85
 -- left : -39.36

('forward', 'green', None, 'left', 'forward')
 -- forward : 1.55
 -- right : 0.41
 -- None : -5.17
 -- left : -19.99

('right', 'green', None, 'right', 'right')
 -- forward : 0.08
 -- right : 0.84
 -- None : -3.54
 -- left : -19.00

('forward', 'green', None, 'forward', None)
 -- forward : 2.35
 -- right : 0.70
 -- None : -4.83
 -- left : 0.80

('forward', 'red', None, 'forward', 'left')
 -- forward : -40.12
 -- right : 0.84
 -- None : 1.67
 -- left : -39.92

('left', 'green', 'right', None, 'right')
 -- forward : -0.13
 -- right : 0.74
 -- None : -2.77
 -- left : -14.90

('left', 'red', 'forward', 'left', 'left')
 -- forward : -40.31
 -- right : -20.42
 -- None : 2.08
 -- left : -39.15

('left', 'green', 'left', 'forward', 'right')
 -- forward : 0.00
 -- right : 1.21
 -- None : -2.05
 -- left : -19.14

('forward', 'green', 'right', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -10.07

('left', 'green', 'right', 'right', 'right')
 -- forward : 1.19
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'right', 'forward', 'left')
 -- forward : 0.54
 -- right : 0.49
 -- None : 0.22
 -- left : 0.11

('right', 'green', None, None, None)
 -- forward : 0.18
 -- right : 1.48
 -- None : -4.34
 -- left : 0.28

('right', 'green', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- right : 1.52
 -- None : -2.42
 -- left : -14.96

('left', 'red', None, 'left', None)
 -- forward : -10.03
 -- right : 1.01
 -- None : 2.70
 -- left : -10.03

('left', 'green', 'right', 'right', 'forward')
 -- forward : 0.89
 -- right : 0.00
 -- None : 0.00
 -- left : -9.96

('left', 'red', 'right', 'left', 'left')
 -- forward : -7.92
 -- right : 0.95
 -- None : 1.32
 -- left : -7.99

('right', 'green', 'forward', None, None)
 -- forward : 0.97
 -- right : 1.90
 -- None : -5.25
 -- left : 0.33

('right', 'green', 'left', 'right', None)
 -- forward : 0.16
 -- right : 1.63
 -- None : -4.69
 -- left : 0.62

('forward', 'green', 'forward', None, None)
 -- forward : 1.83
 -- right : 0.53
 -- None : -5.23
 -- left : 0.77

('left', 'red', 'left', 'forward', 'forward')
 -- forward : -34.47
 -- right : 1.04
 -- None : 2.09
 -- left : 0.00

('left', 'green', 'forward', 'left', 'left')
 -- forward : 0.40
 -- right : 0.36
 -- None : 0.45
 -- left : 1.46

('forward', 'red', 'right', 'left', 'left')
 -- forward : -9.00
 -- right : 0.78
 -- None : 2.11
 -- left : -8.58

('right', 'green', 'right', 'left', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.44
 -- left : 0.22

('right', 'red', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.85
 -- left : -20.02

('forward', 'red', 'right', 'forward', 'forward')
 -- forward : -35.32
 -- right : 1.27
 -- None : 0.16
 -- left : -29.68

('right', 'green', None, 'forward', 'forward')
 -- forward : 0.35
 -- right : 1.67
 -- None : -4.91
 -- left : -20.17

('right', 'red', 'forward', 'forward', 'forward')
 -- forward : -19.80
 -- right : -10.34
 -- None : 2.25
 -- left : -29.68

('right', 'red', 'right', 'right', 'forward')
 -- forward : -5.35
 -- right : 0.00
 -- None : 1.40
 -- left : 0.00

('forward', 'red', 'left', 'forward', 'right')
 -- forward : -34.98
 -- right : 0.35
 -- None : 1.28
 -- left : -19.88

('left', 'red', 'left', 'right', 'forward')
 -- forward : -9.00
 -- right : 0.98
 -- None : 1.35
 -- left : -4.66

('forward', 'red', None, 'right', 'right')
 -- forward : -9.17
 -- right : 0.38
 -- None : 2.05
 -- left : -34.51

('left', 'green', 'right', 'left', 'right')
 -- forward : 0.11
 -- right : 0.56
 -- None : 0.00
 -- left : 0.00

('left', 'red', None, None, 'left')
 -- forward : -10.12
 -- right : 0.65
 -- None : 1.27
 -- left : -9.93

('forward', 'red', 'left', None, None)
 -- forward : -10.06
 -- right : 0.87
 -- None : 1.92
 -- left : -9.95

('forward', 'green', 'right', 'forward', None)
 -- forward : 1.05
 -- right : 0.99
 -- None : -4.95
 -- left : 0.07

('right', 'green', None, None, 'forward')
 -- forward : 0.89
 -- right : 2.00
 -- None : -5.27
 -- left : -20.11

('right', 'green', 'right', 'forward', None)
 -- forward : 0.75
 -- right : 0.97
 -- None : -4.64
 -- left : 0.58

('right', 'green', 'right', 'forward', 'right')
 -- forward : 0.78
 -- right : 0.00
 -- None : -2.23
 -- left : 0.00

('right', 'green', None, 'right', 'forward')
 -- forward : 0.55
 -- right : 1.50
 -- None : -3.99
 -- left : -17.95

('forward', 'red', 'left', None, 'right')
 -- forward : -10.22
 -- right : 0.47
 -- None : 1.42
 -- left : -39.41

('right', 'green', 'left', 'forward', 'left')
 -- forward : 0.30
 -- right : 2.21
 -- None : 1.10
 -- left : 0.97

('forward', 'red', 'forward', 'right', 'right')
 -- forward : -19.67
 -- right : 0.00
 -- None : 1.50
 -- left : 0.00

('left', 'green', None, 'forward', 'left')
 -- forward : 0.59
 -- right : 1.20
 -- None : 0.47
 -- left : 1.71

('forward', 'red', 'right', None, None)
 -- forward : -10.03
 -- right : 0.35
 -- None : 1.62
 -- left : -9.55

('left', 'green', None, 'left', 'forward')
 -- forward : 0.10
 -- right : 0.44
 -- None : -5.55
 -- left : -19.69

('left', 'red', 'left', None, 'forward')
 -- forward : -10.14
 -- right : 1.08
 -- None : 1.90
 -- left : -9.89

('left', 'red', 'left', 'forward', 'left')
 -- forward : -34.72
 -- right : 0.39
 -- None : 1.85
 -- left : -29.62

('forward', 'red', None, 'forward', 'forward')
 -- forward : -40.07
 -- right : 0.27
 -- None : 2.33
 -- left : -39.54

('left', 'red', None, 'right', None)
 -- forward : -9.43
 -- right : 0.40
 -- None : 1.63
 -- left : -10.13

('left', 'green', 'left', 'left', 'left')
 -- forward : 0.99
 -- right : 0.54
 -- None : 0.13
 -- left : 2.29

('left', 'green', None, 'right', 'forward')
 -- forward : 0.56
 -- right : 1.13
 -- None : -4.51
 -- left : -19.63

('forward', 'green', None, 'left', 'left')
 -- forward : 2.45
 -- right : 0.68
 -- None : 1.01
 -- left : 0.48

('forward', 'red', 'right', None, 'forward')
 -- forward : -9.74
 -- right : 0.18
 -- None : 1.58
 -- left : -9.39

('left', 'green', 'forward', 'right', 'left')
 -- forward : 0.09
 -- right : 0.79
 -- None : 0.38
 -- left : 0.00

('right', 'green', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- right : 1.81
 -- None : 0.00
 -- left : -14.82

('forward', 'green', 'left', 'right', 'forward')
 -- forward : 0.48
 -- right : 0.00
 -- None : -2.83
 -- left : -17.56

('forward', 'red', 'left', 'left', 'left')
 -- forward : -9.16
 -- right : 0.34
 -- None : 2.19
 -- left : 0.00

('right', 'green', 'left', None, 'right')
 -- forward : 1.32
 -- right : 1.55
 -- None : -4.59
 -- left : -15.12

('right', 'green', 'forward', None, 'right')
 -- forward : 0.71
 -- right : 2.09
 -- None : -4.50
 -- left : -19.10

('forward', 'green', 'forward', 'right', 'right')
 -- forward : 1.32
 -- right : 0.00
 -- None : 0.00
 -- left : -9.99

('forward', 'red', 'left', 'right', 'forward')
 -- forward : -7.67
 -- right : 0.98
 -- None : 2.19
 -- left : -4.88

('right', 'red', 'right', None, 'right')
 -- forward : -8.34
 -- right : 1.38
 -- None : 2.06
 -- left : -37.41

('right', 'red', 'right', 'right', None)
 -- forward : -9.26
 -- right : 0.00
 -- None : 1.49
 -- left : -9.22

('left', 'red', 'left', 'left', 'right')
 -- forward : -8.94
 -- right : 0.17
 -- None : 1.68
 -- left : -19.67

('forward', 'green', 'right', 'forward', 'right')
 -- forward : 0.00
 -- right : 1.03
 -- None : 0.00
 -- left : 0.00

('left', 'red', None, 'right', 'left')
 -- forward : -10.29
 -- right : 1.26
 -- None : 1.41
 -- left : -10.52

('right', 'red', 'forward', 'right', 'forward')
 -- forward : -29.61
 -- right : 0.00
 -- None : 1.30
 -- left : -20.32

('right', 'red', 'left', 'left', 'right')
 -- forward : -5.25
 -- right : 1.17
 -- None : 1.24
 -- left : -34.90

('left', 'green', 'left', 'forward', None)
 -- forward : 1.04
 -- right : 0.98
 -- None : -4.79
 -- left : 1.49

('left', 'green', 'right', 'left', None)
 -- forward : 0.39
 -- right : 0.12
 -- None : -4.98
 -- left : 2.19

('right', 'green', 'forward', None, 'forward')
 -- forward : 0.98
 -- right : 2.46
 -- None : -4.40
 -- left : -20.04

('right', 'red', 'left', 'forward', 'left')
 -- forward : -39.93
 -- right : 2.21
 -- None : 1.42
 -- left : -34.49

('forward', 'green', 'forward', 'right', None)
 -- forward : 1.78
 -- right : 0.84
 -- None : -5.05
 -- left : 0.84

('forward', 'red', 'left', 'forward', None)
 -- forward : -39.59
 -- right : 1.16
 -- None : 1.37
 -- left : -40.26

('left', 'green', None, 'left', 'left')
 -- forward : 0.79
 -- right : 0.74
 -- None : 0.14
 -- left : 2.27

('right', 'green', 'left', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.52
 -- left : 0.00

('forward', 'green', 'left', 'forward', 'forward')
 -- forward : 1.74
 -- right : 0.63
 -- None : -4.02
 -- left : -15.66

('forward', 'green', 'left', 'left', 'left')
 -- forward : 1.86
 -- right : 1.22
 -- None : 0.47
 -- left : 0.58

('right', 'green', 'forward', 'left', 'right')
 -- forward : 0.00
 -- right : 1.18
 -- None : -2.16
 -- left : -9.51

('left', 'red', None, None, None)
 -- forward : -9.98
 -- right : 0.69
 -- None : 2.14
 -- left : -10.19

('left', 'red', 'forward', 'forward', 'left')
 -- forward : -39.32
 -- right : -17.40
 -- None : 2.23
 -- left : 0.00

('forward', 'green', 'forward', None, 'right')
 -- forward : 1.66
 -- right : 0.81
 -- None : -3.66
 -- left : -14.56

('right', 'green', 'left', None, None)
 -- forward : 1.02
 -- right : 2.15
 -- None : -4.91
 -- left : 0.80

('forward', 'red', 'right', 'right', None)
 -- forward : -8.12
 -- right : 0.45
 -- None : 1.49
 -- left : -4.85

('right', 'green', 'forward', 'right', None)
 -- forward : 0.69
 -- right : 1.55
 -- None : -4.62
 -- left : 1.19

